eb_slope,ti_slope,tag
1.67,0.997137063,FALSE
2.5,1.014183119,TRUE
2.33,1.027253669,TRUE
2,1.035233282,TRUE
1.33,1.039551998,TRUE
3,1.043527504,TRUE
2.5,1.036320111,TRUE
2,1.034661267,TRUE
1.67,1.028283296,TRUE
3,1.022019729,TRUE
2.5,1.022277136,TRUE
1.5,0.980331677,FALSE
1,0.973301322,FALSE
1,0.962547378,FALSE
1,0.958573699,FALSE
1.5,1.003756933,FALSE
2,0.970939344,FALSE
1.5,1.054108729,FALSE
1,0.986750697,FALSE
1,0.988251248,FALSE
1.5,0.993253082,FALSE
1.33,1.026959885,TRUE
2,1.027182189,TRUE
2,1.02771016,TRUE
2,1.027765736,TRUE
1.5,1.027793524,TRUE
2,0.997087821,TRUE
1.5,0.996754365,TRUE
1.5,0.999505374,TRUE
2,0.998866251,TRUE
2,0.998560583,TRUE
0.5,0.999703187,FALSE
1,1.001293257,FALSE
1,0.998431131,FALSE
1.5,0.99861664,FALSE
1,0.998219122,FALSE
1,0.997185577,FALSE
1,0.997212078,FALSE
1.5,0.998881651,FALSE
1,0.997079572,FALSE
2,0.998643141,FALSE
2,1.000869238,TRUE
1.5,1.001160751,TRUE
1.5,1.001319758,TRUE
1.5,1.001160751,TRUE
1.5,1.001081247,TRUE
2,1.001584769,TRUE
2.5,1.002591813,TRUE
2.5,1.002618314,TRUE
2,1.002353303,TRUE
2,0.9999947,TRUE
1.33,0.999410288,FALSE
1.67,0.998959721,FALSE
1.33,1.000258413,FALSE
2,1.000443941,FALSE
1.5,1.000205405,FALSE
2,0.99922476,FALSE
2,0.9974755,FALSE
1.5,0.999807846,FALSE
0.75,1.000602964,FALSE
2,1.00097402,FALSE
2.5,1.000576461,TRUE
2.5,1.000602964,TRUE
3,1.00009939,TRUE
3,1.001212555,TRUE
3,1.000868004,TRUE
3,0.999516303,TRUE
3,0.998747689,TRUE
2,1.00009939,TRUE
3,1.000602964,TRUE
2,1.000311421,TRUE
2,0.993760881,FALSE
1.5,0.998311892,FALSE
1.33,0.999158592,FALSE
1,0.99926443,FALSE
0.5,0.998946917,FALSE
1,0.998126677,FALSE
1,0.998920458,FALSE
1.25,0.998735242,FALSE
1.33,0.999634861,FALSE
1.33,0.998999836,FALSE
2,1.001857448,TRUE
2,1.001883907,TRUE
2.5,1.002148501,TRUE
2.5,1.002307257,TRUE
2,1.002016204,TRUE
2,1.000772613,TRUE
2,1.000693235,TRUE
2.5,1.001592854,TRUE
2,1.00048156,TRUE
2.5,1.002386635,TRUE
2,0.993132734,FALSE
1.33,0.999767774,FALSE
0.75,1.001147862,FALSE
1.33,0.999688153,FALSE
1.25,0.998812328,FALSE
2,0.999581993,FALSE
1.67,0.998520386,FALSE
1.33,0.99923697,FALSE
0.75,0.998546926,FALSE
1,0.998228444,FALSE
2,1.001015161,TRUE
2.5,1.001307103,TRUE
2,1.002156388,TRUE
2,1.001466344,TRUE
3,1.002952593,TRUE
2.5,1.001466344,TRUE
2,1.00085592,TRUE
1.67,1.000643599,TRUE
2.33,1.001174402,TRUE
2.5,1.000298577,TRUE
2,1.001311089,FALSE
1.67,1.002717723,FALSE
1.33,0.999639052,FALSE
0.75,0.999028626,FALSE
1,0.999639052,FALSE
1,0.998232418,FALSE
0.5,1.000302559,FALSE
0.6,0.998524361,FALSE
1.33,1.000276019,FALSE
1,0.998816304,FALSE
2,0.999824834,TRUE
2,1.000063697,TRUE
2,1.000010616,TRUE
2.5,0.998046637,TRUE
3,0.998630522,TRUE
2,1.000276019,TRUE
2,1.001470331,TRUE
4,1.000912985,TRUE
3,1.001735733,TRUE
2,1.000541421,TRUE
1,0.998945389,FALSE
1,0.99878566,FALSE
0.5,0.998759039,FALSE
1,0.999264847,FALSE
1.33,0.99913174,FALSE
1.25,0.998918768,FALSE
0.6,0.999504441,FALSE
1.67,0.999211604,FALSE
0.75,0.998625931,FALSE
2,1.000675787,FALSE
2.5,0.997747421,TRUE
2.5,0.998546066,TRUE
2,0.999078497,TRUE
3,0.999211604,TRUE
3,0.998972011,TRUE
3,1.003417802,TRUE
2,1.001820512,TRUE
2,1.002733629,TRUE
2.5,1.003444424,TRUE
3,1.00320483,TRUE
1.25,0.999019805,FALSE
0.6,1.00130245,FALSE
1.67,1.007801276,FALSE
0.75,0.996817724,FALSE
0.75,1.001409869,FALSE
2,1.002725747,FALSE
1.33,1.001490433,FALSE
0.67,1.002242363,FALSE
1.67,1.003182276,FALSE
1.5,1.002000671,FALSE
2.5,1.006700235,TRUE
2,1.004874119,TRUE
2.5,1.004175898,TRUE
3,1.004175898,TRUE
3,1.003773078,TRUE
2.5,1.003182276,TRUE
3,0.948855321,TRUE
4,1.003182276,TRUE
4,1.000792212,TRUE
4,1.002296073,TRUE
